frq,unit,ag,sx,go,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,C,Y15-19,F,AL, , , , , , , , , , , , , ,6.5,6.4,6, , 
A,C,Y15-19,F,AM, , , , , , , , , , , , , , , , ,5.3, 
A,C,Y15-19,F,AT, , , , , , , , , , , , , ,4.7,4.7,4.7,4.7, 
A,C,Y15-19,F,AZ, , , , , , , , , , , , , , , ,6.7,6.9, 
A,C,Y15-19,F,G, , , , , , , , , , , , , ,5.3,5.4,5.5,5.6,5.7
A,C,Y15-19,F,G, , , , , ,4.5,4.2,4.1,4.1,4,3.9,3.9,3.9,4,4.2,4.4,4.5,4.7
A,C,Y15-19,F,CH, , , , , , , , , , , , , ,4.7,4.7,4.7,4.7,4.8
A,C,Y15-19,F,CY, , , , , ,6.4,6.1,5.8,5.6,5.4,5.2,5.1,5,4.8,4.7,4.7,4.6,4.6
A,C,Y15-19,F,CZ, , , , , , , , , , , , , ,4.4,4.6,4.9,5.2,5.3
A,C,Y15-19,F,D, , , , , , , , , , , , , ,4.4,4.4,4.4,4.5, 
