iter	RMSE
0	5.565003945
1	5.084069
2	4.643307483
3	4.240174471
4	3.874528958
5	3.521527901
6	3.217358711
7	2.949768307
8	2.699161037
9	2.473203855
10	2.268460359
11	2.097621963
12	1.928000916
13	1.772221565
14	1.64078429
15	1.517354565
16	1.399395557
17	1.30120549
18	1.216272461
19	1.1411641
20	1.063388087
21	0.9926722884
22	0.9246983123
23	0.8658051259
24	0.8168361353
25	0.769660402
26	0.7221230042
27	0.6797508451
28	0.6437224135
29	0.6102981617
30	0.5770453065
31	0.5460737189
32	0.5198371241
33	0.501141197
34	0.4818438745
35	0.4634914443
36	0.447597295
37	0.4319434523
38	0.4160235566
39	0.4021261678
40	0.3906520867
41	0.3790754775
42	0.3678080691
43	0.3581970366
44	0.3521944057
45	0.3430323756
46	0.3349923653
47	0.3301288746
48	0.3241940596
49	0.3177745632
50	0.3117086858
51	0.3074181092
52	0.3016775467
53	0.2975487079
54	0.2924614856
55	0.2903343417
56	0.286520085
57	0.2850743189
58	0.2804908282
59	0.2780746592
60	0.275295709
61	0.2709603717
62	0.2692820889
63	0.2673926109
64	0.2661380544
65	0.2636759615
66	0.2625820754
67	0.2615474675
68	0.2602166236
69	0.2588911461
70	0.257486391
71	0.2563804041
72	0.2545348027
73	0.2514823943
74	0.2487670053
75	0.2456092185
76	0.2428269029
77	0.2384262327
78	0.2350003948
79	0.2339762041
80	0.2333829417
81	0.2307526339
82	0.2277262114
83	0.2252103726
84	0.223101814
85	0.2203287294
86	0.2198713335
87	0.2170731761
88	0.2165428218
89	0.2144307138
90	0.2135068635
91	0.2113740221
92	0.2076644534
93	0.2070491079
94	0.2056577192
95	0.2037994942
96	0.2022601297
97	0.2010474345
98	0.1977061353
99	0.1972908824
100	0.1960658063
101	0.193281567
102	0.1904287167
103	0.1900306256
104	0.188159294
105	0.1872272453
106	0.1845665976
107	0.1821261283
108	0.1799150714
109	0.1786014442
110	0.177459201
111	0.1753553491
112	0.1750882751
113	0.1729980331
114	0.1719876193
115	0.1717346237
116	0.1698673309
117	0.1678379151
118	0.1675587328
119	0.1664254688
120	0.1662201388
121	0.1660274171
122	0.1642875464
123	0.1625559856
124	0.1623804555
125	0.1622075392
126	0.1607970344
127	0.1606279369
128	0.1596763236
129	0.1578952347
130	0.1577514379
131	0.1566044928
132	0.1554253402
133	0.1538507484
134	0.1529604492
135	0.1516428147
136	0.1503525473
137	0.1494908913
138	0.1481600399
139	0.1473307841
140	0.1471035695
141	0.1459780677
142	0.1456136578
143	0.1445617282
144	0.1438326468
145	0.1427955604
146	0.1419438294
147	0.1415773565
148	0.1403127408
149	0.1392481767
150	0.1383763687
151	0.1375783856
152	0.1366914671
153	0.1358396008
154	0.134935184
155	0.1347959041
156	0.1346513832
157	0.1335973456
158	0.1329054229
159	0.1321371571
160	0.1310571239
161	0.1308831199
162	0.1301068943
163	0.1300414335
164	0.1289307531
165	0.1280580755
166	0.1273753337
167	0.1266684906
168	0.1258516678
169	0.1248269802
170	0.1247785955
171	0.1239770939
172	0.1234604458
173	0.1228626998
174	0.1221392911
175	0.1215059718
176	0.1206045659
177	0.1199219069
178	0.11917524
179	0.1185485254
180	0.1179446348
181	0.1176877749
182	0.1174413667
183	0.1173312555
184	0.1167907745
185	0.1167566924
186	0.1166757825
187	0.1164950912
188	0.1160336394
189	0.1159996371
190	0.1152835122
191	0.1144756962
192	0.1139416167
193	0.1133630628
194	0.1133214545
195	0.112692055
196	0.1122418981
197	0.1114451617
198	0.1110296885
199	0.1106733376
