iter	Passed	Remaining
0	5	1035
1	8	863
2	12	811
3	15	765
4	19	761
5	23	747
6	26	734
7	30	722
8	33	717
9	37	720
10	41	711
11	44	702
12	48	695
13	53	704
14	57	706
15	61	706
16	66	713
17	72	728
18	76	727
19	80	723
20	87	748
21	91	742
22	95	738
23	101	743
24	106	744
25	110	741
26	116	748
27	121	745
28	125	739
29	129	734
30	135	736
31	139	731
32	143	725
33	147	722
34	151	715
35	156	711
36	160	706
37	166	711
38	170	705
39	174	699
40	179	697
41	183	690
42	186	682
43	190	674
44	193	667
45	198	662
46	201	655
47	204	648
48	208	641
49	212	638
50	216	631
51	219	625
52	223	619
53	228	618
54	232	613
55	236	607
56	239	601
57	244	598
58	248	592
59	251	587
60	255	581
61	260	579
62	264	575
63	268	571
64	272	566
65	277	562
66	280	557
67	284	551
68	287	546
69	292	542
70	295	537
71	301	535
72	306	533
73	310	529
74	314	523
75	317	518
76	323	517
77	328	513
78	333	510
79	338	508
80	342	503
81	345	497
82	349	492
83	353	488
84	358	484
85	361	479
86	364	473
87	369	469
88	373	465
89	377	460
90	380	456
91	385	452
92	389	447
93	392	443
94	396	437
95	400	433
96	404	429
97	407	424
98	411	419
99	414	414
100	419	410
101	423	406
102	427	402
103	431	398
104	435	393
105	438	389
106	442	384
107	446	380
108	451	377
109	455	372
110	460	369
111	465	365
112	469	361
113	473	356
114	476	352
115	480	348
116	484	343
117	487	339
118	491	334
119	495	330
120	499	326
121	503	321
122	506	317
123	510	313
124	514	308
125	517	304
126	521	299
127	525	295
128	529	291
129	532	286
130	536	282
131	540	278
132	544	274
133	548	270
134	551	265
135	555	261
136	560	257
137	564	253
138	569	249
139	573	245
140	577	241
141	580	237
142	584	233
143	588	228
144	592	224
145	596	220
146	599	216
147	602	211
148	607	207
149	610	203
150	613	199
151	616	194
152	619	190
153	623	186
154	626	181
155	629	177
156	632	173
157	636	169
158	640	165
159	644	161
160	648	157
161	653	153
162	657	149
163	662	145
164	666	141
165	671	137
166	674	133
167	678	129
168	681	125
169	686	121
170	691	117
171	695	113
172	699	109
173	704	105
174	709	101
175	714	97
176	724	94
177	729	90
178	734	86
179	739	82
180	744	78
181	750	74
182	754	70
183	760	66
184	765	62
185	770	57
186	774	53
187	779	49
188	783	45
189	787	41
190	792	37
191	797	33
192	801	29
193	805	24
194	810	20
195	815	16
196	819	12
197	823	8
198	828	4
199	833	0
