version,1.7.0
info,balls_per_over,6
info,team,Vidarbha
info,team,Rajasthan
info,gender,male
info,season,2020/21
info,date,2021/01/11
info,event,Syed Mushtaq Ali Trophy
info,venue, Emerald Heights International School Ground
info,city,
info,toss_winner,Rajasthan
info,toss_decision,field
info,winner,Rajasthan
info,winner_wickets,3
info,player,Vidarbha,JM Sharma
info,player,Vidarbha,Atharva Taide
info,player,Vidarbha,Ganesh Satish
info,player,Vidarbha,RR Rathod
info,player,Vidarbha,Siddhesh Wath
info,player,Vidarbha,Akshay Karnewar
info,player,Vidarbha,AV Wankhade
info,player,Vidarbha,DG Nalkande
info,player,Vidarbha,NN Bhute
info,player,Vidarbha,Yash Thakur
info,player,Vidarbha,Akshay Wakhare
info,player,Rajasthan,DL Chahar
info,player,Rajasthan,KK Ahmed
info,player,Rajasthan,A Choudhary
info,player,Rajasthan,Ravi Bishnoi
info,player,Rajasthan,RD Chahar
info,player,Rajasthan,MN Singh
info,player,Rajasthan,Ankit Lamba
info,player,Rajasthan,MK Lomror
info,player,Rajasthan,R Bishnoi
info,player,Rajasthan,AL Menaria
info,player,Rajasthan,Arjit Gupta
info,registry,people,A Choudhary,18e6906e
info,registry,people,AL Menaria,8291f939
info,registry,people,AV Wankhade,5708d0b6
info,registry,people,Akshay Karnewar,e1e7f950
info,registry,people,Akshay Wakhare,ec9fc54b
info,registry,people,Ankit Lamba,90a3c0dc
info,registry,people,Arjit Gupta,145903a5
info,registry,people,Atharva Taide,1ac746c8
info,registry,people,DG Nalkande,cd8d2859
info,registry,people,DL Chahar,23eeb873
info,registry,people,Ganesh Satish,0ed1a112
info,registry,people,JM Sharma,800d2d97
info,registry,people,KK Ahmed,a2f46292
info,registry,people,MK Lomror,da934ee8
info,registry,people,MN Singh,7ba6ef29
info,registry,people,NN Bhute,5f06c5a8
info,registry,people,R Bishnoi,4d5a1617
info,registry,people,RD Chahar,2ed569a0
info,registry,people,RR Rathod,3c79f8af
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,Siddhesh Wath,5786f224
info,registry,people,Yash Thakur,4b31f3a3
ball,1,0.1,Vidarbha,JM Sharma,Atharva Taide,DL Chahar,0,0,,,,,,run out,JM Sharma
ball,1,0.2,Vidarbha,Atharva Taide,Ganesh Satish,DL Chahar,0,0,,,,,,"",""
ball,1,0.3,Vidarbha,Atharva Taide,Ganesh Satish,DL Chahar,4,0,,,,,,"",""
ball,1,0.4,Vidarbha,Atharva Taide,Ganesh Satish,DL Chahar,0,0,,,,,,caught,Atharva Taide
ball,1,0.5,Vidarbha,RR Rathod,Ganesh Satish,DL Chahar,0,0,,,,,,"",""
ball,1,0.6,Vidarbha,RR Rathod,Ganesh Satish,DL Chahar,1,0,,,,,,"",""
ball,1,1.1,Vidarbha,RR Rathod,Ganesh Satish,KK Ahmed,0,0,,,,,,"",""
ball,1,1.2,Vidarbha,RR Rathod,Ganesh Satish,KK Ahmed,1,0,,,,,,"",""
ball,1,1.3,Vidarbha,Ganesh Satish,RR Rathod,KK Ahmed,0,0,,,,,,"",""
ball,1,1.4,Vidarbha,Ganesh Satish,RR Rathod,KK Ahmed,0,0,,,,,,"",""
ball,1,1.5,Vidarbha,Ganesh Satish,RR Rathod,KK Ahmed,0,1,1,,,,,"",""
ball,1,1.6,Vidarbha,Ganesh Satish,RR Rathod,KK Ahmed,0,0,,,,,,"",""
ball,1,1.7,Vidarbha,Ganesh Satish,RR Rathod,KK Ahmed,0,0,,,,,,"",""
ball,1,2.1,Vidarbha,RR Rathod,Ganesh Satish,DL Chahar,0,0,,,,,,caught,RR Rathod
ball,1,2.2,Vidarbha,Siddhesh Wath,Ganesh Satish,DL Chahar,0,0,,,,,,"",""
ball,1,2.3,Vidarbha,Siddhesh Wath,Ganesh Satish,DL Chahar,0,0,,,,,,"",""
ball,1,2.4,Vidarbha,Siddhesh Wath,Ganesh Satish,DL Chahar,0,0,,,,,,"",""
ball,1,2.5,Vidarbha,Siddhesh Wath,Ganesh Satish,DL Chahar,0,0,,,,,,"",""
ball,1,2.6,Vidarbha,Siddhesh Wath,Ganesh Satish,DL Chahar,0,0,,,,,,"",""
ball,1,3.1,Vidarbha,Ganesh Satish,Siddhesh Wath,KK Ahmed,0,2,2,,,,,"",""
ball,1,3.2,Vidarbha,Siddhesh Wath,Ganesh Satish,KK Ahmed,0,1,1,,,,,"",""
ball,1,3.3,Vidarbha,Siddhesh Wath,Ganesh Satish,KK Ahmed,1,0,,,,,,"",""
ball,1,3.4,Vidarbha,Ganesh Satish,Siddhesh Wath,KK Ahmed,1,0,,,,,,"",""
ball,1,3.5,Vidarbha,Siddhesh Wath,Ganesh Satish,KK Ahmed,1,0,,,,,,"",""
ball,1,3.6,Vidarbha,Ganesh Satish,Siddhesh Wath,KK Ahmed,2,0,,,,,,"",""
ball,1,3.7,Vidarbha,Ganesh Satish,Siddhesh Wath,KK Ahmed,0,0,,,,,,"",""
ball,1,3.8,Vidarbha,Ganesh Satish,Siddhesh Wath,KK Ahmed,0,0,,,,,,"",""
ball,1,4.1,Vidarbha,Siddhesh Wath,Ganesh Satish,DL Chahar,0,0,,,,,,"",""
ball,1,4.2,Vidarbha,Siddhesh Wath,Ganesh Satish,DL Chahar,0,0,,,,,,"",""
ball,1,4.3,Vidarbha,Siddhesh Wath,Ganesh Satish,DL Chahar,1,0,,,,,,"",""
ball,1,4.4,Vidarbha,Ganesh Satish,Siddhesh Wath,DL Chahar,1,0,,,,,,"",""
ball,1,4.5,Vidarbha,Siddhesh Wath,Ganesh Satish,DL Chahar,0,0,,,,,,"",""
ball,1,4.6,Vidarbha,Siddhesh Wath,Ganesh Satish,DL Chahar,0,0,,,,,,"",""
ball,1,5.1,Vidarbha,Ganesh Satish,Siddhesh Wath,A Choudhary,1,0,,,,,,"",""
ball,1,5.2,Vidarbha,Siddhesh Wath,Ganesh Satish,A Choudhary,0,0,,,,,,"",""
ball,1,5.3,Vidarbha,Siddhesh Wath,Ganesh Satish,A Choudhary,0,0,,,,,,"",""
ball,1,5.4,Vidarbha,Siddhesh Wath,Ganesh Satish,A Choudhary,0,0,,,,,,"",""
ball,1,5.5,Vidarbha,Siddhesh Wath,Ganesh Satish,A Choudhary,0,0,,,,,,"",""
ball,1,5.6,Vidarbha,Siddhesh Wath,Ganesh Satish,A Choudhary,0,0,,,,,,"",""
ball,1,6.1,Vidarbha,Ganesh Satish,Siddhesh Wath,Ravi Bishnoi,1,0,,,,,,"",""
ball,1,6.2,Vidarbha,Siddhesh Wath,Ganesh Satish,Ravi Bishnoi,0,0,,,,,,"",""
ball,1,6.3,Vidarbha,Siddhesh Wath,Ganesh Satish,Ravi Bishnoi,0,0,,,,,,"",""
ball,1,6.4,Vidarbha,Siddhesh Wath,Ganesh Satish,Ravi Bishnoi,0,0,,,,,,"",""
ball,1,6.5,Vidarbha,Siddhesh Wath,Ganesh Satish,Ravi Bishnoi,0,0,,,,,,"",""
ball,1,6.6,Vidarbha,Siddhesh Wath,Ganesh Satish,Ravi Bishnoi,0,0,,,,,,"",""
ball,1,7.1,Vidarbha,Ganesh Satish,Siddhesh Wath,A Choudhary,1,0,,,,,,"",""
ball,1,7.2,Vidarbha,Siddhesh Wath,Ganesh Satish,A Choudhary,4,0,,,,,,"",""
ball,1,7.3,Vidarbha,Siddhesh Wath,Ganesh Satish,A Choudhary,0,0,,,,,,"",""
ball,1,7.4,Vidarbha,Siddhesh Wath,Ganesh Satish,A Choudhary,0,1,1,,,,,"",""
ball,1,7.5,Vidarbha,Siddhesh Wath,Ganesh Satish,A Choudhary,1,0,,,,,,"",""
