version,1.6.0
info,balls_per_over,6
info,team,Sussex
info,team,Glamorgan
info,gender,male
info,season,2016
info,date,2016/07/28
info,event,NatWest T20 Blast
info,venue,County Ground
info,city,Hove
info,toss_winner,Sussex
info,toss_decision,field
info,umpire,SC Gale
info,umpire,PJ Hartley
info,outcome,no result
info,player,Glamorgan,DL Lloyd
info,player,Glamorgan,MA Wallace
info,player,Glamorgan,CA Ingram
info,player,Glamorgan,AHT Donald
info,player,Glamorgan,JA Rudolph
info,player,Glamorgan,GG Wagg
info,player,Glamorgan,AG Salter
info,player,Glamorgan,CAJ Meschede
info,player,Glamorgan,T van der Gugten
info,player,Glamorgan,MG Hogan
info,player,Glamorgan,SW Tait
info,player,Sussex,CD Nash
info,player,Sussex,LJ Wright
info,player,Sussex,PD Salt
info,player,Sussex,Craig Cachopa
info,player,Sussex,MW Machan
info,player,Sussex,CJ Jordan
info,player,Sussex,JC Archer
info,player,Sussex,HZ Finch
info,player,Sussex,WAT Beer
info,player,Sussex,GHS Garton
info,player,Sussex,TS Mills
info,registry,people,AG Salter,1a45b864
info,registry,people,AHT Donald,72918338
info,registry,people,CA Ingram,c995d726
info,registry,people,CAJ Meschede,eddf25bd
info,registry,people,CD Nash,6f049d41
info,registry,people,CJ Jordan,ffe699c0
info,registry,people,Craig Cachopa,af294a6c
info,registry,people,DL Lloyd,0c7f11be
info,registry,people,GG Wagg,450f6fa6
info,registry,people,GHS Garton,be869ccf
info,registry,people,HZ Finch,6b16f8ba
info,registry,people,JA Rudolph,42537f07
info,registry,people,JC Archer,5574750c
info,registry,people,LJ Wright,cca50cd6
info,registry,people,MA Wallace,cabf72cc
info,registry,people,MG Hogan,5da34add
info,registry,people,MW Machan,8c7d6cbe
info,registry,people,PD Salt,3d284ca3
info,registry,people,PJ Hartley,17c7ff26
info,registry,people,SC Gale,3df4cd05
info,registry,people,SW Tait,addfb70e
info,registry,people,T van der Gugten,d99cc23a
info,registry,people,TS Mills,245c97cb
info,registry,people,WAT Beer,98eacfe5
