Year,Country,Debt_to_GDP_Percent,GDP_Growth_Percent,Inflation_Percent,Population_Total,Data_Type,Source
2000,CHN,,8.58643201808462,0.347811226864587,1262645000.0,Historical,World Bank
2000,EMU,,3.90141358203564,2.94756559977476,325789631.0,Historical,World Bank
2000,IND,55.0042464964554,3.84099115659129,4.0094359104519,1057922733.0,Historical,World Bank
2000,JPN,,2.76464755136783,-0.676578683595175,126843000.0,Historical,World Bank
2000,PAK,55.0324216144747,4.2600880111325,4.36666451291681,154879127.0,Historical,World Bank
2000,USA,33.2676548646821,4.07758575682804,3.37685727149929,282162411.0,Historical,World Bank
2000,WLD,,4.55506182477725,,6161884811.0,Historical,World Bank
2001,CHN,,8.31263887091522,0.719125609120114,1271850000.0,Historical,World Bank
2001,EMU,,2.18509855153397,2.85732893518829,326861195.0,Historical,World Bank
2001,IND,59.0179097968845,4.82396626555771,3.77929312235637,1077898575.0,Historical,World Bank
2001,JPN,,0.386103426142029,-0.740055504162738,127149000.0,Historical,World Bank
2001,PAK,,3.65135017083765,3.14826144590618,159270907.0,Historical,World Bank
2001,USA,52.6288977430517,0.955538348341605,2.82617111885407,284968955.0,Historical,World Bank
2001,WLD,,2.03855309163356,,6245112906.0,Historical,World Bank
2002,CHN,,9.24339326638321,-0.731970902350244,1280400000.0,Historical,World Bank
2002,EMU,,0.946766858097888,2.32690683615857,328469678.0,Historical,World Bank
2002,IND,62.5527712945573,3.80397532112175,4.29715203929563,1097600380.0,Historical,World Bank
2002,JPN,,0.0419624992862282,-0.923494026942321,127445000.0,Historical,World Bank
2002,PAK,,2.59481668445784,3.29034472613153,163222549.0,Historical,World Bank
2002,USA,54.0472133861297,1.70044732643726,1.58603162650601,287625193.0,Historical,World Bank
2002,WLD,,2.31107096730885,,6327557399.0,Historical,World Bank
2003,CHN,,10.1181928640117,1.12760348729637,1288400000.0,Historical,World Bank
2003,EMU,,0.75319113715031,2.09523529072289,330286340.0,Historical,World Bank
2003,IND,62.1900538960464,7.8603814759073,3.80585899528851,1116803006.0,Historical,World Bank
2003,JPN,,1.53512549946694,-0.256541816316025,127718000.0,Historical,World Bank
2003,PAK,,5.40131087314342,2.91413470059479,167110248.0,Historical,World Bank
2003,USA,56.4292821179909,2.79560596320081,2.27009497336115,290107933.0,Historical,World Bank
2003,WLD,,3.09383471039331,,6409750441.0,Historical,World Bank
2004,CHN,,10.1314073631003,3.82463743108159,1296075000.0,Historical,World Bank
2004,EMU,,2.31187462582069,2.21620788926273,332140117.0,Historical,World Bank
2004,IND,62.5929767433885,7.92293661199932,3.76725173477515,1135991513.0,Historical,World Bank
2004,JPN,,2.18611569439318,-0.00857338820310272,127761000.0,Historical,World Bank
2004,PAK,,7.83125556961251,7.44462469342739,171286000.0,Historical,World Bank
2004,USA,56.8323090866456,3.84777169556921,2.67723669309172,292805298.0,Historical,World Bank
2004,WLD,,4.50184539653775,,6492769815.0,Historical,World Bank
2005,CHN,,11.458238455067,1.77641407667571,1303720000.0,Historical,World Bank
2005,EMU,,1.77166717086934,2.52392898747161,333897752.0,Historical,World Bank
2005,IND,62.2265261001737,7.92343062148318,4.24634362031922,1154676322.0,Historical,World Bank
2005,JPN,,1.80390087215821,-0.282946068764391,127773000.0,Historical,World Bank
2005,PAK,,7.2765744364722,9.06332737030417,175453212.0,Historical,World Bank
2005,USA,56.6929754702153,3.48354993555606,3.3927468454955,295516599.0,Historical,World Bank
2005,WLD,,4.05453629039749,,6575841506.0,Historical,World Bank
2006,CHN,,12.6746751655235,1.6494309945586,1311020000.0,Historical,World Bank
2006,EMU,,3.32457136193729,2.72004750529271,335499702.0,Historical,World Bank
2006,IND,59.6667302762217,8.06073257166651,5.79652337561634,1172878890.0,Historical,World Bank
2006,JPN,,1.3723501275831,0.249355116079085,127854000.0,Historical,World Bank
2006,PAK,,6.05163767569996,7.92108440058789,179682690.0,Historical,World Bank
2006,USA,55.6206336286886,2.78453963650701,3.22594410070404,298379912.0,Historical,World Bank
2006,WLD,,4.47616958858079,,6659977025.0,Historical,World Bank
2007,CHN,,14.1499854947127,4.81676767378834,1317885000.0,Historical,World Bank
2007,EMU,,3.01116848351764,2.48231546689542,337282985.0,Historical,World Bank
