Year,Country,ISO3,GDP_Growth_Percent,Inflation_Percent,Population_Total,Data_Type,Source
2000,Arab World,ARB,6.336729224,1.853790353,286548096,Historical,World Bank API
2001,Arab World,ARB,2.097407453,1.772204374,293580252,Historical,World Bank API
2002,Arab World,ARB,1.220748451,1.83299389,300691509,Historical,World Bank API
2003,Arab World,ARB,4.295531684,2.712592475,307815105,Historical,World Bank API
2004,Arab World,ARB,9.074591887,3.63228005,315060277,Historical,World Bank API
2005,Arab World,ARB,5.572955298,3.493685346,322628451,Historical,World Bank API
2006,Arab World,ARB,6.276297341,3.544985916,330526310,Historical,World Bank API
2007,Arab World,ARB,4.601164703,4.74390639,338947976,Historical,World Bank API
2008,Arab World,ARB,5.571160087,11.27066524,347684619,Historical,World Bank API
2009,Arab World,ARB,0.648247153,2.920897118,356386673,Historical,World Bank API
2010,Arab World,ARB,4.840642438,3.911061955,363568534,Historical,World Bank API
2011,Arab World,ARB,3.853203588,4.753163889,372054934,Historical,World Bank API
2012,Arab World,ARB,5.493754229,4.611844322,381030177,Historical,World Bank API
2013,Arab World,ARB,2.647320609,3.25423911,390954281,Historical,World Bank API
2014,Arab World,ARB,2.659752314,2.89947905,400231008,Historical,World Bank API
2015,Arab World,ARB,3.350803667,1.831352332,410190679,Historical,World Bank API
2016,Arab World,ARB,3.57286828,2.365031235,419808341,Historical,World Bank API
2017,Arab World,ARB,1.329010002,2.069329282,428315886,Historical,World Bank API
2018,Arab World,ARB,2.672553245,2.308746967,435998060,Historical,World Bank API
2019,Arab World,ARB,1.747781122,1.336015681,444281315,Historical,World Bank API
2020,Arab World,ARB,-5.301027869,1.44703657,453723239,Historical,World Bank API
2021,Arab World,ARB,4.431608835,2.868330278,460646603,Historical,World Bank API
2022,Arab World,ARB,7.007759343,5.17980848,471352066,Historical,World Bank API
2023,Arab World,ARB,1.634950223,4.000258771,482105978,Historical,World Bank API
2024,Arab World,ARB,1.703531028,2.101355774,492612632,Historical,World Bank API
2000,China,CHN,8.586432018,0.347811227,1262645000,Historical,World Bank API
2001,China,CHN,8.312638871,0.719125609,1271850000,Historical,World Bank API
2002,China,CHN,9.243393266,-0.731970902,1280400000,Historical,World Bank API
2003,China,CHN,10.11819286,1.127603487,1288400000,Historical,World Bank API
2004,China,CHN,10.13140736,3.824637431,1296075000,Historical,World Bank API
